order_id,order_date,customer_id,company_name,product_id,product_name,category_id,unit_price,quantity,discount,total_sales,year,month,year_month,season,discounted_unit_price,total_quantity,customer_segment
10248,1996-07-04,VINET,Vins et alcools Chevalier,11,Queso Cabrales,4,14.0,12,0.0,168.0,1996,7,1996-07,Summer,14.0,12,Medium Value
10248,1996-07-04,VINET,Vins et alcools Chevalier,42,Singaporean Hokkien Fried Mee,5,9.8,10,0.0,98.0,1996,7,1996-07,Summer,9.8,10,Medium Value
10248,1996-07-04,VINET,Vins et alcools Chevalier,72,Mozzarella di Giovanni,4,34.8,5,0.0,174.0,1996,7,1996-07,Summer,34.8,5,Medium Value
10249,1996-07-05,TOMSP,Toms Spezialitäten,14,Tofu,7,18.6,9,0.0,167.4,1996,7,1996-07,Summer,18.6,9,Medium Value
10249,1996-07-05,TOMSP,Toms Spezialitäten,51,Manjimup Dried Apples,7,42.4,40,0.0,1696.0,1996,7,1996-07,Summer,42.4,40,Medium Value
10250,1996-07-08,HANAR,Hanari Carnes,41,Jack's New England Clam Chowder,8,7.7,10,0.0,77.0,1996,7,1996-07,Summer,7.7,10,High Value
10250,1996-07-08,HANAR,Hanari Carnes,51,Manjimup Dried Apples,7,42.4,35,0.15,1261.3999999999999,1996,7,1996-07,Summer,36.04,35,High Value
10250,1996-07-08,HANAR,Hanari Carnes,65,Louisiana Fiery Hot Pepper Sauce,2,16.8,15,0.15,214.2,1996,7,1996-07,Summer,14.28,15,High Value
10251,1996-07-08,VICTE,Victuailles en stock,22,Gustaf's Knäckebröd,5,16.8,6,0.05,95.76,1996,7,1996-07,Summer,15.959999999999999,6,High Value
10251,1996-07-08,VICTE,Victuailles en stock,57,Ravioli Angelo,5,15.6,15,0.05,222.29999999999998,1996,7,1996-07,Summer,14.819999999999999,15,High Value
10251,1996-07-08,VICTE,Victuailles en stock,65,Louisiana Fiery Hot Pepper Sauce,2,16.8,20,0.0,336.0,1996,7,1996-07,Summer,16.8,20,High Value
10252,1996-07-09,SUPRD,Suprêmes délices,20,Sir Rodney's Marmalade,3,64.8,40,0.05,2462.4,1996,7,1996-07,Summer,61.559999999999995,40,High Value
10252,1996-07-09,SUPRD,Suprêmes délices,33,Geitost,4,2.0,25,0.05,47.5,1996,7,1996-07,Summer,1.9,25,High Value
10252,1996-07-09,SUPRD,Suprêmes délices,60,Camembert Pierrot,4,27.2,40,0.0,1088.0,1996,7,1996-07,Summer,27.2,40,High Value
10253,1996-07-10,HANAR,Hanari Carnes,31,Gorgonzola Telino,4,10.0,20,0.0,200.0,1996,7,1996-07,Summer,10.0,20,High Value
10253,1996-07-10,HANAR,Hanari Carnes,39,Chartreuse verte,1,14.4,42,0.0,604.8000000000001,1996,7,1996-07,Summer,14.4,42,High Value
10253,1996-07-10,HANAR,Hanari Carnes,49,Maxilaku,3,16.0,40,0.0,640.0,1996,7,1996-07,Summer,16.0,40,High Value
10254,1996-07-11,CHOPS,Chop-suey Chinese,24,Guaraná Fantástica,1,3.6,15,0.15,45.9,1996,7,1996-07,Summer,3.06,15,High Value
10254,1996-07-11,CHOPS,Chop-suey Chinese,55,Pâté chinois,6,19.2,21,0.15,342.71999999999997,1996,7,1996-07,Summer,16.32,21,High Value
